#options: 1024x576 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=114 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:50.63 aq:42.70 tex:36524 mv:11656 misc:172 imb:2304 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:52.42 aq:48.04 tex:2303 mv:1560 misc:769 imb:132 pmb:108 smb:2064 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:52.42 aq:50.28 tex:1734 mv:1018 misc:504 imb:37 pmb:92 smb:2175 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:52.42 aq:50.96 tex:1512 mv:535 misc:457 imb:19 pmb:65 smb:2220 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:52.42 aq:51.00 tex:475 mv:191 misc:374 imb:2 pmb:37 smb:2265 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:52.47 aq:46.47 tex:3298 mv:2246 misc:944 imb:225 pmb:130 smb:1949 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:52.45 aq:50.71 tex:1166 mv:841 misc:473 imb:33 pmb:66 smb:2205 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:52.44 aq:50.99 tex:1324 mv:447 misc:453 imb:12 pmb:75 smb:2217 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:52.46 aq:50.55 tex:597 mv:648 misc:443 imb:21 pmb:52 smb:2231 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:52.58 aq:47.04 tex:2586 mv:2154 misc:1124 imb:198 pmb:131 smb:1975 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:52.53 aq:50.95 tex:1157 mv:627 misc:496 imb:27 pmb:60 smb:2217 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:52.50 aq:50.92 tex:127 mv:79 misc:290 imb:1 pmb:21 smb:2282 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:52.55 aq:50.09 tex:608 mv:349 misc:387 imb:5 pmb:51 smb:2248 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:52.61 aq:46.94 tex:1941 mv:1559 misc:964 imb:127 pmb:101 smb:2076 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:52.60 aq:50.20 tex:291 mv:227 misc:402 imb:7 pmb:36 smb:2261 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:52.59 aq:51.00 tex:70 mv:30 misc:244 imb:0 pmb:12 smb:2292 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:52.61 aq:50.25 tex:910 mv:512 misc:450 imb:22 pmb:43 smb:2239 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:52.56 aq:47.36 tex:2669 mv:2278 misc:1117 imb:198 pmb:136 smb:1970 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:52.59 aq:50.76 tex:822 mv:833 misc:553 imb:39 pmb:74 smb:2191 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:52.60 aq:50.86 tex:155 mv:155 misc:362 imb:4 pmb:33 smb:2267 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:52.57 aq:51.00 tex:129 mv:70 misc:297 imb:0 pmb:23 smb:2281 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:60.56 aq:51.00 tex:1001 mv:1033 misc:678 imb:79 pmb:69 smb:2156 d:- ref:0 ;
